File Name,Naive F1 Score 69,Naive F1 Score 71,Naive F1 Score 72,Ground F1 Score 69,Ground F1 Score 71,Ground F1 Score 72
925.midi,0.03965863453815261,0.015247776365946633,0.0,0.04808277541083384,0.0,0.0
1156.midi,0.0,0.01540436456996149,0.02906680265170831,0.0,0.0,0.0
163.midi,0.36088039867109634,0.21443112418004975,0.19276556776556777,0.0,0.05454545454545454,0.2144072603516733
7.midi,0.16391085549964055,0.0,0.0,0.1760154738878143,0.0,0.0
421.midi,0.02487941101802488,0.011755686174290826,0.0,0.06872370266479663,0.0,0.0
1176.midi,0.007741935483870968,0.06224899598393574,0.034122740005092946,0.022189349112426034,0.0,0.0
552.midi,0.07598371777476255,0.04898183819482664,0.13568235603470943,0.0975609756097561,0.0,0.0
293.midi,0.0,0.024116424116424118,0.015037593984962405,0.0,0.024754588134869825,0.0
342.midi,0.014856081708449397,0.00931098696461825,0.050455927051671734,0.03621399176954732,0.005202913631633715,0.0
968.midi,0.02585551330798479,0.007674597083653108,0.04714142427281846,0.05616740088105727,0.013992537313432836,0.0
1224.midi,0.12013760254035459,0.2087745839636914,0.24201930215293244,0.0,0.0,0.24201930215293244
640.midi,0.0770392749244713,0.12380250552689757,0.0,0.0,0.0,0.0
36.midi,0.0,0.06995230524642289,0.01309328968903437,0.0,0.06995230524642289,0.0
1272.midi,0.11910669975186104,0.12272977435332967,0.28161209068010074,0.0,0.00966183574879227,0.5961968680089486
752.midi,0.08584743684081432,0.12808827056848165,0.13256759990428332,0.0,0.0,0.0
482.midi,0.14242115971515767,0.03708680462241333,0.044444444444444446,0.1599542987717795,0.0,0.0
969.midi,0.07851962990747686,0.12493899463152758,0.17047619047619048,0.21890547263681592,0.023676880222841225,0.18366311516996447
206.midi,0.0020714655618850335,0.39584199584199586,0.0,0.0,0.446218487394958,0.0
343.midi,0.14805998571768628,0.08279940857565303,0.16336166194523136,0.0,0.22459893048128343,0.0
292.midi,0.04378378378378378,0.03582089552238806,0.0688367129135539,0.05710577547047372,0.15157894736842106,0.004257583821181479
1248.midi,0.04094010614101592,0.17256011315417255,0.07379798732761834,0.04094010614101592,0.0,0.0
553.midi,0.055713180294041785,0.028250065393669893,0.04411001556824079,0.060335195530726256,0.0,0.065284178187404
115.midi,0.1,0.00819000819000819,0.04971932638331997,0.0,0.00819000819000819,0.0
953.midi,0.02337992376111817,0.011758691206543968,0.007684426229508197,0.0,0.01736504341260853,0.0
379.midi,0.07676130389064142,0.0625,0.25933856768974545,0.20754716981132076,0.0,0.2902568283734203
420.midi,0.06161490683229814,0.15424651052756091,0.03377016129032258,0.0,0.15642994241842612,0.05730659025787966
1012.midi,0.0020491803278688526,0.0020491803278688526,0.04069329314242653,0.0022916069894013177,0.0,0.0
94.midi,0.08749078397640699,0.266815144766147,0.18939041414611446,0.0,0.009652509652509652,0.32097791798107256
764.midi,0.10181997048696508,0.4099711578079934,0.15403013633102128,0.11979166666666667,0.0,0.0
271.midi,0.0015205271160669033,0.00606826801517067,0.012600806451612902,0.0,0.0,0.025680534155110426
1182.midi,0.022395656599932135,0.07720224348399868,0.08541392904073587,0.0,0.0,0.08751262201279031
637.midi,0.05914567360350493,0.20738492665655034,0.11037056784857371,0.0,0.0,0.25274725274725274
1194.midi,0.007162534435261708,0.0027609055770292656,0.004413793103448276,0.0,0.0,0.006371963361210673
283.midi,0.0625,0.10938017898574744,0.09739826551034023,0.0,0.3157894736842105,0.0
1127.midi,0.09276729559748427,0.11694695989650712,0.032441200324412,0.0,0.0,0.05006257822277847
954.midi,0.005847953216374269,0.058560390402602684,0.07887323943661972,0.0,0.12265758091993186,0.0
738.midi,0.11430133989608969,0.08337965536409116,0.049773755656108594,0.11430133989608969,0.0,0.0
1218.midi,0.03577235772357724,0.01804757998359311,0.008244023083264633,0.004898958971218616,0.0,0.018192844147968467
554.midi,0.05781211064041864,0.07508026673252655,0.1552662721893491,0.018867924528301886,0.12522686025408347,0.08781288469429627
1189.midi,0.034607870499581354,0.044975013881177126,0.016338028169014085,0.0896,0.1724137931034483,0.0
344.midi,0.07270029673590504,0.10133982947624848,0.11648139197680038,0.0,0.1078838174273859,0.0
256.midi,0.03849114703618168,0.03697996918335902,0.036223506743737956,0.0876424189307625,0.0,0.0
352.midi,0.02815768302493966,0.026570048309178744,0.05476190476190476,0.0,0.03154875717017208,0.0
1193.midi,0.02525697503671072,0.3024488765463267,0.07610872675250357,0.0,0.04112718964204113,0.06544408486156059
958.midi,0.14892601431980906,0.062453160129902575,0.11930164888457807,0.16317991631799164,0.0,0.0
688.midi,0.09864036256998134,0.09813333333333334,0.16043332473562033,0.020764511562057573,0.17117117117117117,0.12320328542094455
1214.midi,0.05601194921583271,0.031013615733736764,0.04138449962377728,0.0,0.0,0.06892230576441102
919.midi,0.01684962981873883,0.03937405350832913,0.020387359836901122,0.040342298288508556,0.0,0.0
93.midi,0.4078838174273859,0.00312256049960968,0.0,0.43237299318231803,0.0,0.0
1146.midi,0.015752032520325202,0.009176650522559266,0.040642247867536375,0.0,0.004608294930875576,0.04509394572025052
173.midi,0.23469138814344961,0.1694915254237288,0.20089507707608156,0.23469138814344961,0.0,0.0
923.midi,0.0,0.08569280881984465,0.03649447442816756,0.0,0.0730593607305936,0.0
759.midi,0.08413284132841328,0.10326351680467609,0.053,0.08413284132841328,0.0,0.0
1042.midi,0.06442861987114276,0.14554905782975958,0.08905256109809173,0.0,0.0,0.11738746690203
85.midi,0.0,0.042606516290726815,0.0,0.0,0.0,0.0
1014.midi,0.0,0.03029537995455693,0.025310048089091368,0.0,0.14025974025974025,0.0
172.midi,0.028118609406952964,0.04213197969543147,0.04609929078014184,0.0,0.0668824163969795,0.03801546391752577
1242.midi,0.011737688185761675,0.03530005042864347,0.04809619238476954,0.0,0.05299015897047691,0.0
918.midi,0.0,0.03272214386459803,0.06331574562621493,0.0,0.0,0.0
220.midi,0.04794007490636704,0.15002366303833412,0.0861689106487148,0.0,0.3113207547169811,0.10386544703452345
51.midi,0.002559508574353724,0.01475451539048588,0.02779883750315896,0.0011607661056297156,0.010869565217391304,0.028189910979228485
373.midi,0.005622284692052134,0.048024012006003,0.0,0.02268041237113402,0.0,0.0
959.midi,0.009190707173857544,0.021816336884830034,0.0,0.0,0.024184476940382452,0.0
261.midi,0.25250683682771197,0.0,0.012441679626749611,0.0,0.0,0.0
1038.midi,0.0842998585572843,0.022773722627737226,0.04953917050691244,0.0,0.0,0.05373320837238363
168.midi,0.024439918533604887,0.014837554361729342,0.007702182284980745,0.0,0.015135699373695199,0.0
484.midi,0.06172224987555998,0.1165659008464329,0.11154219204655674,0.06468440271257173,0.0,0.0
257.midi,0.09440389294403893,0.037092731829573934,0.11140583554376658,0.0,0.037092731829573934,0.0
345.midi,0.06573705179282868,0.026924053848107695,0.07865446450655454,0.0,0.027130790888149476,0.0
294.midi,0.03647586980920314,0.016439909297052153,0.055030572540300166,0.01017293997965412,0.07231920199501247,0.0
105.midi,0.08086858854361663,0.08014981273408239,0.0894521058516586,0.0,0.0,0.0
1219.midi,0.0,0.03601510310775487,0.019332161687170474,0.0,0.0327455919395466,0.0
1126.midi,0.10529279279279279,0.025814021707245526,0.11114229581813079,0.0,0.0,0.12527681113571654
955.midi,0.0,0.01050080775444265,0.05527043031977892,0.0,0.0,0.0
